"sample_list","sig_list","expected_list","fitsig_list","actual_list","diff"
"TCGA-AF-2690-01A-02D-1733-10","SBS40",0.497691145432656,0.497691145432656,0.465346534653465,0.032344610779191
"TCGA-5M-AATE-01A-11D-A40P-10","SBS5",0.180448196618481,0.180448196618481,0.148148148148148,0.032300048470333
"TCGA-AG-4021-01A-01D-1733-10","SBS1",0.375795353263666,0.375795353297741,0.343589743589744,0.032205609673922
"T2963","SBS1",0.440676951141903,0.440676951141904,0.472826086956522,0.032149135814619
"TCGA-G4-6298-01A-11D-1719-10","SBS1",0.623789738445932,0.623789738445932,0.591666666666667,0.032123071779265
"T3724","SBS44",0.458707308110969,0.458707308116957,0.426624261699228,0.032083046411741
"T3498","SBS5",0.35617699753671,0.356176997538475,0.388221153846154,0.032044156309444
"587350","SBS15",0.208457092979369,0.208457092979369,0.240443896424168,0.031986803444799
"TCGA-AA-3660-01A-01D-1719-10","SBS5",0.22082260108859,0.2208226010902,0.252808988764045,0.031986387675455
"587334","SBS5",0.437401660958226,0.437401660958226,0.469387755102041,0.031986094143815
"TCGA-F4-6856-01A-11D-1924-10","SBS15",0.556607451601208,0.556607451618154,0.524776604386678,0.03183084721453
"T2197","SBS44",0.241197049506327,0.24119704950959,0.27299703264095,0.031799983134623
"C40","SBS1",0.596789579975831,0.596789579975831,0.628571428571429,0.031781848595598
"T3255","SBS1",0.574359038655587,0.574359038655587,0.542682926829268,0.031676111826319
"T3340","SBS1",0.390879684506028,0.39087968450603,0.422535211267606,0.031655526761578
"TCGA-AA-3875-01A-01W-0900-09","SBS5",0.602991634834665,0.602991634837501,0.634615384615385,0.03162374978072
"TCGA-AD-6899-01A-11D-1924-10","SBS2",0.0874259739471482,0.0874259739471482,0.0558139534883721,0.0316120204587761
"T3535","SBS44",0.41825367312592,0.41825367312592,0.386696730552424,0.031556942573496
"TCGA-CM-6161-01A-11D-1650-10","SBS1",0.381574273616946,0.381574273616946,0.41304347826087,0.031469204643924
"TCGA-CK-5912-01A-11D-1650-10","SBS40",0.493539417263298,0.493539417263299,0.525,0.031460582736702
"sysucc-1512T","SBS5",0.847080168257391,0.847080168257391,0.878537735849057,0.0314575675916661
"TCGA-DC-6158-01A-11D-1657-10","SBS5",0.490289974202291,0.490289974202291,0.521739130434783,0.0314491562324921
"T2272","SBS1",0.41071303408271,0.41071303408271,0.379310344827586,0.031402689255124
"TCGA-CI-6621-01A-11D-1826-10","SBS40",0.596595830408931,0.596595830411297,0.565217391304348,0.031378439104583
"TCGA-DC-6682-01A-11D-1826-10","SBS40",0.447804844742304,0.447804844742729,0.479166666666667,0.031361821924363
"TCGA-AH-6544-01A-11D-1826-10","SBS1",0.264001723445751,0.264001723445751,0.295336787564767,0.031335064119016
"TCGA-G4-6309-01A-21D-1835-10","SBS5",0.246555406025581,0.246555406025581,0.215228426395939,0.031326979629642
"TCGA-DM-A28C-01A-11D-A16V-10","SBS40",0.461593215554507,0.461593215554507,0.492857142857143,0.031263927302636
"TCGA-AA-3850-01A-01W-0995-10","SBS1",0.356621286539563,0.356621286542932,0.387878787878788,0.031257501339225
"TCGA-AG-A02X-01A-01W-A00E-09","SBS40",0.616330769167987,0.61633076916861,0.585106382978723,0.031224386189264
"TCGA-RU-A8FL-01A-11D-A36X-10","SBS40",0.356531502569597,0.356531502571663,0.325358851674641,0.031172650894956
"TCGA-AF-A56K-01A-32D-A38X-10","SBS1",0.415824042927247,0.415824042927247,0.446969696969697,0.03114565404245
"TCGA-CM-5348-01A-21D-1719-10","SBS1",0.475573930863683,0.475573930863683,0.444444444444444,0.031129486419239
"TCGA-AM-5820-01A-01D-1650-10","SBS1",0.531067141622702,0.531067141622702,0.5,0.031067141622702
"TCGA-AH-6549-01A-11D-1826-10","SBS10b",0.134198847857892,0.134198847857892,0.103174603174603,0.031024244683289
"T2664","SBS5",0.560811906460235,0.560811906463089,0.529801324503311,0.0310105819569241
"VACO10","SBS1",0.359135299169509,0.359135299169509,0.328125,0.031010299169509
"587234","SBS44",0.190319930215185,0.190319930215185,0.221247563352826,0.030927633137641
"TCGA-DC-6681-01A-11D-1826-10","SBS1",0.463531225410602,0.463531225410602,0.432692307692308,0.030838917718294
"TCGA-AF-A56L-01A-31D-A38X-10","SBS40",0.472017828756198,0.4720178287562,0.502824858757062,0.0308070300008639
"TCGA-AZ-6598-01A-11D-1771-10","SBS44",0.238609328133675,0.238609328136695,0.269244801167457,0.030635473033782
"T1232","SBS1",0.53939311602489,0.539393116041208,0.508771929824561,0.0306211862003291
"T613","SBS44",0.324895322904655,0.324895322904655,0.294314381270903,0.030580941633752
"TCGA-AG-A01Y-01A-41W-A096-10","SBS5",0.682519096332715,0.682519096332715,0.71304347826087,0.030524381928155
"TCGA-AF-A56L-01A-31D-A38X-10","SBS1",0.527696172025323,0.527696172025347,0.497175141242938,0.0305210307823851
"TCGA-DM-A0X9-01A-11D-A152-10","SBS5",0.694346013874434,0.694346013874434,0.663865546218487,0.0304804676559469
